toi,tid,label,period_d,status,n_sectors,baseline_days_approx,n_epochs_proxy
966.01,178367144,planet,3.4091568,ok,3,82.19999999999999,24.11153397227138
2182.01,268823307,planet,3.5484481,ok,7,191.79999999999998,54.05179802404324
3497.01,21113347,planet,4.218076,ok,5,137.0,32.47926305737497
5960.01,188876052,planet,3.076329,ok,2,54.8,17.8134393297986
1931.01,162922904,planet,3.8186276,ok,5,137.0,35.87676368337148
5093.01,63189173,planet,2.2984058,ok,4,109.6,47.68522599446973
1915.01,98283926,planet,2.2920348,ok,5,137.0,59.772216372980026
769.01,248075138,planet,4.9816784,ok,4,109.6,22.000617301992033
2714.01,332534326,planet,2.4993895,ok,0,0.0,0.0
704.01,260004324,planet,3.8143009,ok,42,1150.8,301.70666399182085
1144.01,28230919,planet,4.8878037,ok,11,301.4,61.66368751674703
5678.01,209464063,planet,119.3355264,ok,4,109.6,0.918418875805956
4426.01,271354351,planet,3.905126,ok,7,191.79999999999998,49.114932527145086
1450.01,377293776,planet,2.0439268,ok,39,1068.6,522.817157639892
942.01,146520535,planet,4.32765,ok,2,54.8,12.662761544949337
455.01,98796344,planet,5.358776,ok,2,54.8,10.226215837347931
1779.01,67646988,planet,1.8817191,ok,2,54.8,29.122306299595937
2207.01,90850770,planet,8.000489,ok,3,82.19999999999999,10.274371979012782
4618.01,284326455,planet,3.7998536,ok,5,137.0,36.054020607530774
669.01,124573851,planet,3.9451359,ok,4,109.6,27.781045514807232
4602.01,467651916,planet,3.9813082,ok,5,137.0,34.41079994761521
1903.01,77156657,planet,3.8404319,ok,3,82.19999999999999,21.40384262509641
3757.01,445751830,planet,3.4391954,ok,3,82.19999999999999,23.90093915571066
7502.01,169504920,planet,3.1052319,ok,1,27.4,8.823817635004973
2107.01,446549906,planet,2.45457,ok,5,137.0,55.81425667224809
1448.01,343628284,planet,8.0970819,ok,7,191.79999999999998,23.687546003455886
1909.01,232038798,planet,4.1536624,ok,6,164.39999999999998,39.579528658852965
6030.01,245392284,planet,1.7442831,ok,2,54.8,31.416918503653445
5806.01,283621618,planet,3.1856488,ok,2,54.8,17.20214733023929
411.01,100990000,planet,9.5730787,ok,5,137.0,14.310965603991118
1099.01,290348383,planet,6.441006,ok,7,191.79999999999998,29.777957045840353
